Title,JQI,ai_exposure,wage_median,age_ratio,physical_sustainability,autonomy,employment
Fundraisers,0.5940483182059549,0.0466,29.17,1.1764705882352942,0.8294323015513759,0.7275162985408299,82080.0
Chiropractors,0.593911347597538,0.0,36.06,1.3888888888888888,0.4290360890996733,0.8001304812158889,35810.0
Advertising Sales Agents,0.5935161370982412,0.1482,25.16,0.7045454545454546,0.8069852786784564,0.8180551339444715,96660.0
"Physical Scientists, All Other",0.5922988638155362,0.0379,50.05,0.4545454545454545,0.7849991453631671,0.6013701433077602,19680.0
Medical and Health Services Managers,0.5921518103168979,0.0659,48.72,1.5347222222222223,0.6921077862436771,0.6308097427254802,436770.0
Credit Analysts,0.5909148316724754,0.1685,37.23,0.125,0.9036912234409664,0.6194176363286724,68770.0
General Internal Medicine Physicians,0.5902241498125412,0.084,,,0.5647332347627806,0.749576240025821,58260.0
Writers and Authors,0.5899067639005409,0.2462,33.42,1.2075471698113207,0.8623535106033648,0.6501953613561413,49410.0
Producers and Directors,0.5893938252023194,0.092,37.98,0.7368421052631579,0.7317012685312086,0.7124805886908383,138250.0
"Physicians, Pathologists",0.5884981927825375,0.1577,,,0.6234289131361024,0.6826621795418734,11010.0
"Business Operations Specialists, All Other",0.5878626894022366,0.1846,35.9,0.7911392405063291,0.7815491876859469,0.7036554874715625,1030330.0
"Directors, Religious Activities and Education",0.587071064085453,0.153,22.59,1.7058823529411764,0.7316398735376461,0.8788506064285102,21000.0
Civil Engineers,0.585100671193411,0.0081,42.33,0.7142857142857143,0.7473254493558308,0.6676672066941489,304310.0
Geographers,0.5844786636220605,0.1096,40.97,,0.7266280737613502,0.7080149603876926,1440.0
"Healthcare Practitioners and Technical Workers, All Other",0.5841667048042399,0.0,28.25,,0.4901093063757781,0.7824318220304598,44100.0
"Property, Real Estate, and Community Association Managers",0.5840347223696611,0.1653,28.47,2.603448275862069,0.7874883015450453,0.7382844383631558,234680.0
Emergency Management Directors,0.5838458006750482,0.0,36.89,9.0,0.6090886967315046,0.7299705361040423,10320.0
"Compensation, Benefits, and Job Analysis Specialists",0.5815178047894493,0.0649,30.83,3.4,0.8248932528270116,0.6434435406877091,87750.0
Obstetricians and Gynecologists,0.5808967012308698,0.0685,,,0.4443717761527924,0.8352570122903437,21570.0
Training and Development Specialists,0.5788707588181395,0.2793,29.6,0.8727272727272727,0.7858263018648236,0.7204887553127561,336030.0
